,company_id,Company,Followers,No_of_Employees ,Industry_copy,Industry
204,cp_205,Ankyah Infinity Pvt. Ltd.,"3,754,506 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
205,cp_206,Boeing,"543,829 followers",201-500 employees,"Technology, Information and Internet 201-500 employees 199 on LinkedIn","Technology, Information and Internet "
206,cp_207,Thiess,"513,265 followers","10,001+ employees","Financial Services 10,001+ employees 38,266 on LinkedIn",Financial Services 
207,cp_208,Lennox India Technology Centre,"14,684,742 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
208,cp_209,NetApp,"32,759 followers","1,001-5,000 employees","Pharmaceutical Manufacturing 1,001-5,000 employees 474 on LinkedIn",Pharmaceutical Manufacturing 
209,cp_210,Qrata,"254,369 followers","1,001-5,000 employees","Staffing and Recruiting 1,001-5,000 employees 1,066 on LinkedIn",Staffing and Recruiting 
210,cp_211,Fractal,"8,621,669 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 243,896 on LinkedIn",IT Services and IT Consulting 
211,cp_212,Flowserve Corporation,"381,933 followers","1,001-5,000 employees","Technology, Information and Internet 1,001-5,000 employees 5,991 on LinkedIn","Technology, Information and Internet "
212,cp_213,Games24x7,"872,949 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 11,609 on LinkedIn",IT Services and IT Consulting 
213,cp_214,Accenture in India,"37,840 followers","501-1,000 employees","Pharmaceutical Manufacturing 501-1,000 employees 1,431 on LinkedIn",Pharmaceutical Manufacturing 
214,cp_215,Sanofi,"105,478 followers",51-200 employees,Hospitality 51-200 employees 250 on LinkedIn,Hospitality 
215,cp_216,bytecitadel,"8,561,169 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 320,829 on LinkedIn",IT Services and IT Consulting 
216,cp_217,Synechron,"1,844,044 followers","10,001+ employees","Pharmaceutical Manufacturing 10,001+ employees 55,458 on LinkedIn",Pharmaceutical Manufacturing 
217,cp_218,Broadcom,"563,800 followers","10,001+ employees","Financial Services 10,001+ employees 69,402 on LinkedIn",Financial Services 
218,cp_219,UBS,"330,306 followers","5,001-10,000 employees","Software Development 5,001-10,000 employees 7,819 on LinkedIn",Software Development 
219,cp_220,Juniper Networks,"6,032,576 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 260,221 on LinkedIn",IT Services and IT Consulting 
220,cp_221,Network18 Media & Investments Limited,"3,754,509 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
221,cp_222,Wood Mackenzie,"184,263 followers","5,001-10,000 employees","Information Technology & Services 5,001-10,000 employees 5,169 on LinkedIn",Information Technology & Services 
222,cp_223,Northern Trust,"1,004,163 followers","10,001+ employees","Outsourcing and Offshoring Consulting 10,001+ employees 42,278 on LinkedIn",Outsourcing and Offshoring Consulting 
223,cp_224,UST,"4,239,015 followers","10,001+ employees","Financial Services 10,001+ employees 55,993 on LinkedIn",Financial Services 
224,cp_225,ITC Infotech,"54,465 followers",201-500 employees,Motor Vehicle Manufacturing 201-500 employees 180 on LinkedIn,Motor Vehicle Manufacturing 
